Date,Open,High,Low,Close,Adj Close,Volume
2/15/18,42.448,43.273,42.25,41.843,43.248,204588684
2/16/18,43.09,43.705,42.943,43.248,43.108,160704364
2/19/18,43.09,43.705,42.943,43.248,43.108,160704364
2/20/18,43.013,43.565,42.855,43.108,42.963,135722160
2/21/18,43.208,43.53,42.753,42.963,42.768,149886492
2/22/18,42.95,43.488,42.928,42.768,43.125,123967760
2/23/18,43.418,43.913,43.385,43.125,43.875,135249440
2/26/18,44.088,44.848,44.053,43.875,44.743,152648696
2/27/18,44.775,45.12,44.54,44.743,44.598,155712500
2/28/18,44.815,45.154,44.513,44.598,44.53,151128552
3/1/18,44.635,44.944,43.165,44.53,43.75,195207880
3/2/18,43.2,44.075,43.113,43.75,44.053,153815800
3/5/18,43.803,44.435,43.63,44.053,44.205,113605464
3/6/18,44.478,44.563,44.033,44.205,44.168,95154024
3/7/18,43.735,43.963,43.568,44.168,43.758,126813848
3/8/18,43.87,44.28,43.768,43.758,44.235,95096428
3/9/18,44.49,45,44.348,44.235,44.995,128740648
3/12/18,45.073,45.598,45.053,44.995,45.43,128828324
3/13/18,45.648,45.875,44.81,45.43,44.993,126774116
3/14/18,45.08,45.13,44.453,44.993,44.61,117473424
3/15/18,44.625,45.06,44.518,44.61,44.663,90975192
3/16/18,44.663,44.78,44.405,44.663,44.505,157618752
3/19/18,44.33,44.368,43.415,44.505,43.825,133787084
3/20/18,43.81,44.2,43.735,43.825,43.81,78597400
3/21/18,43.76,43.773,42.815,43.81,42.818,148219740
3/22/18,42.5,43.17,42.15,42.818,42.213,165963068
3/23/18,42.098,42.48,41.235,42.213,41.235,164115136
3/26/18,42.018,43.275,41.61,41.235,43.193,150164944
3/27/18,43.42,43.788,41.73,43.193,42.085,163690316
3/28/18,41.813,42.505,41.298,42.085,41.62,166674180
3/29/18,41.951,42.938,41.725,41.62,41.945,153594020
3/30/18,41.951,42.938,41.725,41.62,41.945,153594020
4/2/18,41.97,42.235,41.118,41.945,41.67,150347164
4/3/18,41.91,42.186,41.22,41.67,42.098,121112184
4/4/18,41.22,43.003,41.193,42.098,42.903,138421956
4/5/18,43.145,43.558,43.02,42.903,43.2,107732788
4/6/18,42.743,43.12,42.05,43.2,42.095,140021160
4/9/18,42.47,43.273,42.461,42.095,42.513,116070872
4/10/18,43.25,43.5,42.883,42.513,43.313,114456964
4/11/18,43.058,43.481,42.925,43.313,43.11,89726560
4/12/18,43.353,43.75,43.26,43.11,43.535,91557140
4/13/18,43.695,43.96,43.463,43.535,43.683,100497020
4/16/18,43.758,44.048,43.708,43.683,43.955,86313680
4/17/18,44.123,44.734,44.103,43.955,44.56,106421768
4/18/18,44.453,44.705,44.22,44.56,44.46,83018152
4/19/18,43.738,43.848,43.165,44.46,43.2,139235200
4/20/18,42.649,42.805,41.358,43.2,41.43,261964560
4/23/18,41.709,41.73,41.023,41.43,41.31,146061908
4/24/18,41.418,41.583,40.305,41.31,40.735,134768068
4/25/18,40.655,41.355,40.603,40.735,40.913,113528336
4/26/18,41.03,41.433,40.843,40.913,41.055,111852056
4/27/18,41,41.083,40.158,41.055,40.58,142623356
4/30/18,40.533,41.815,40.46,40.58,41.315,169709696
5/1/18,41.603,42.3,41.318,41.315,42.275,214277504
5/2/18,43.806,44.438,43.45,42.275,44.143,266157484
5/3/18,43.97,44.375,43.61,44.143,44.223,136272720
5/4/18,44.563,46.063,44.543,44.223,45.958,224805268
5/7/18,46.295,46.918,46.188,45.958,46.29,169805692
5/8/18,46.248,46.555,45.916,46.29,46.513,113611108
5/9/18,46.638,46.85,46.305,46.513,46.84,92844964
5/10/18,46.935,47.593,46.913,46.84,47.51,111957156
5/11/18,47.373,47.515,46.863,47.51,47.148,104848884
5/14/18,47.253,47.383,46.965,47.148,47.038,83115088
5/15/18,46.695,46.768,46.275,47.038,46.61,94780636
5/16/18,46.518,47.115,46.5,46.61,47.045,76732256
5/17/18,47,47.228,46.59,47.045,46.748,69176116
5/18/18,46.798,46.953,46.533,46.748,46.578,73190912
5/21/18,47,47.318,46.728,46.578,46.908,73603148
5/22/18,47.094,47.22,46.695,46.908,46.79,60962816
5/23/18,46.588,47.125,46.44,46.79,47.09,80233660
5/24/18,47.193,47.21,46.553,47.09,47.038,92935900
5/25/18,47.058,47.413,46.913,47.038,47.145,69843852
5/28/18,47.058,47.413,46.913,47.038,47.145,69843852
5/29/18,46.9,47.188,46.718,47.145,46.975,90056300
5/30/18,46.93,47,46.695,46.975,46.875,74762188
5/31/18,46.805,47.058,46.535,46.875,46.718,109931172
6/1/18,46.998,47.565,46.938,46.718,47.56,93770040
6/4/18,47.909,48.355,47.838,47.56,47.958,105064696
6/5/18,48.266,48.485,48.09,47.958,48.328,86263852
6/6/18,48.408,48.52,47.98,48.328,48.495,83734476
6/7/18,48.535,48.55,48.084,48.495,48.365,85388720
6/8/18,47.793,48,47.443,48.365,47.925,106627196
6/11/18,47.838,47.993,47.553,47.925,47.808,73233840
6/12/18,47.846,48.153,47.788,47.808,48.07,67644564
6/13/18,48.105,48.22,47.61,48.07,47.675,86553572
6/14/18,47.888,47.893,47.555,47.675,47.7,86440296
6/15/18,47.508,47.54,47.065,47.7,47.21,246876640
6/18/18,46.97,47.305,46.8,47.21,47.185,73939460
6/19/18,46.285,46.583,45.863,47.185,46.423,134313820
6/20/18,46.588,46.8,46.433,46.423,46.625,82514804
6/21/18,46.813,47.088,46.235,46.625,46.365,102847592
6/22/18,46.53,46.538,46.175,46.365,46.23,108801788
6/25/18,45.85,46.23,45.183,46.23,45.543,126652384
6/26/18,45.748,46.633,45.635,45.543,46.108,98276804
6/27/18,46.307,46.82,46.008,46.108,46.04,101141312
6/28/18,46.025,46.553,45.95,46.04,46.375,69460940
6/29/18,46.573,46.798,45.728,46.375,46.278,90950664
7/2/18,45.955,46.825,45.855,46.278,46.795,70925372
7/3/18,46.948,46.988,45.885,46.795,45.98,55819224
7/4/18,46.948,46.988,45.885,46.795,45.98,55819224
7/5/18,46.315,46.603,46.07,45.98,46.35,66416992
7/6/18,46.355,47.109,46.3,46.35,46.993,69940980
7/9/18,47.375,47.67,47.325,46.993,47.645,79026536
7/10/18,47.678,47.82,47.545,47.645,47.588,63756596
7/11/18,47.125,47.445,46.903,47.588,46.97,75325880
7/12/18,47.383,47.853,47.328,46.97,47.758,72164524
7/13/18,47.77,47.96,47.725,47.758,47.833,50079168
7/16/18,47.88,48.163,47.604,47.833,47.728,60172440
7/17/18,47.438,47.968,47.3,47.728,47.863,62138092
7/18/18,47.945,47.95,47.483,47.863,47.6,65573524
7/19/18,47.423,48.138,47.423,47.6,47.97,81147008
7/20/18,47.945,48.108,47.543,47.97,47.86,82824168
7/23/18,47.67,47.99,47.39,47.86,47.903,63957460
7/24/18,48.113,48.415,48.013,47.903,48.25,74791592
7/25/18,48.265,48.713,48.108,48.25,48.705,67321312
7/26/18,48.653,48.99,48.403,48.705,48.553,76303856
7/27/18,48.748,48.798,47.525,48.553,47.745,96095888
7/30/18,47.975,48.05,47.268,47.745,47.478,84118140
7/31/18,47.575,48.035,47.335,47.478,47.573,157492152
8/1/18,49.783,50.44,49.328,47.573,50.375,271742864
8/2/18,50.145,52.095,50.088,50.375,51.848,249616048
8/3/18,51.758,52.185,51.37,51.848,51.998,133789584
8/6/18,52,52.313,51.768,51.998,52.268,101701548
8/7/18,52.33,52.375,51.69,52.268,51.778,102349548
8/8/18,51.513,51.953,51.13,51.778,51.813,90101948
8/9/18,51.82,52.445,51.8,51.813,52.22,93970504
8/10/18,51.84,52.275,51.668,52.22,51.883,98444808
8/13/18,51.925,52.738,51.925,51.883,52.218,103563520
8/14/18,52.539,52.64,52.065,52.218,52.438,82992040
8/15/18,52.305,52.685,52.083,52.438,52.56,115230256
8/16/18,52.938,53.453,52.868,52.56,53.33,114001468
8/17/18,53.36,54.488,53.29,53.33,54.395,141707988
8/20/18,54.525,54.795,53.778,54.395,53.865,121150780
8/21/18,54.2,54.298,53.506,53.865,53.76,104639020
8/22/18,53.525,54.09,53.46,53.76,53.763,76072524
8/23/18,53.663,54.263,53.65,53.763,53.873,75532896
8/24/18,54.15,54.225,53.778,53.873,54.04,73905424
8/27/18,54.288,54.685,54.083,54.04,54.485,82100468
8/28/18,54.753,55.135,54.73,54.485,54.925,91107064
8/29/18,55.038,55.873,54.853,54.925,55.745,109019216
8/30/18,55.813,57.065,55.6,55.745,56.258,195175296
8/31/18,56.628,57.218,56.5,56.258,56.908,173360536
9/3/18,56.628,57.218,56.5,56.258,56.908,173360536
9/4/18,57.103,57.295,56.658,56.908,57.09,109560528
9/5/18,57.248,57.418,56.275,57.09,56.718,133331840
9/6/18,56.558,56.838,55.325,56.718,55.775,137159904
9/7/18,55.463,56.343,55.178,55.775,55.325,150479240
9/10/18,55.238,55.463,54.118,55.325,54.583,158065812
9/11/18,54.503,56.075,54.14,54.583,55.963,142996196
9/12/18,56.235,56.25,54.96,55.963,55.268,197114960
9/13/18,55.88,57.088,55.643,55.268,56.603,166825508
9/14/18,56.438,56.71,55.631,56.603,55.96,127997156
9/17/18,55.538,55.738,54.318,55.96,54.47,148780532
9/18/18,54.448,55.463,54.28,54.47,54.56,126286848
9/19/18,54.625,54.905,53.825,54.56,54.593,108495332
9/20/18,55.06,55.57,54.788,54.593,55.008,106435176
9/21/18,55.195,55.34,54.323,55.008,54.415,384986992
9/24/18,54.205,55.315,54.158,54.415,55.198,110773432
9/25/18,54.938,55.705,54.925,55.198,55.548,98217516
9/26/18,55.25,55.938,54.94,55.548,55.105,95938824
9/27/18,55.955,56.61,55.885,55.105,56.238,120724908
9/28/18,56.198,56.46,56.005,56.238,56.435,91717456
10/1/18,56.988,57.355,56.588,56.435,56.815,94403208
10/2/18,56.813,57.5,56.658,56.815,57.32,99152680
10/3/18,57.513,58.368,57.445,57.32,58.018,114619196
10/4/18,57.695,58.088,56.683,58.018,56.998,128168000
10/5/18,56.99,57.103,55.145,56.998,56.073,134321852
10/8/18,55.553,56.2,55.05,56.073,55.943,118655692
10/9/18,55.91,56.818,55.562,55.943,56.718,107564116
10/10/18,56.365,56.588,54.013,56.718,54.09,167962216
10/11/18,53.63,54.875,53.08,54.09,53.613,212497568
10/12/18,55.105,55.72,54.21,53.613,55.528,161351404
10/15/18,55.29,55.458,54.318,55.528,54.34,123164028
10/16/18,54.733,55.748,54.191,54.34,55.538,116735852
10/17/18,55.575,55.66,54.835,55.538,55.298,91541588
10/18/18,54.465,54.935,53.25,55.298,54.005,130325260
10/19/18,54.515,55.315,54.358,54.005,54.828,132314904
10/22/18,54.948,55.84,54.735,54.828,55.163,115168328
10/23/18,53.958,55.813,53.675,55.163,55.683,155071384
10/24/18,55.65,56.058,53.635,55.683,53.773,163700652
10/25/18,54.428,55.345,54.188,53.773,54.95,119423072
10/26/18,53.975,55.048,53.168,54.95,54.075,189033500
10/29/18,54.798,54.923,51.523,54.075,53.06,183742080
10/30/18,52.788,53.795,52.318,53.06,53.325,146639960
10/31/18,54.22,55.113,54.155,53.325,54.715,153435732
11/1/18,54.763,55.59,54.203,54.715,55.555,233292720
11/2/18,52.388,53.413,51.358,55.555,51.87,365314616
11/5/18,51.075,51.098,49.543,51.87,50.398,264654676
11/6/18,50.48,51.18,50.423,50.398,50.943,127531524
11/7/18,51.493,52.515,51.033,50.943,52.488,133697736
11/8/18,52.495,52.53,51.688,52.488,52.123,101450544
11/9/18,51.388,51.503,50.563,52.123,51.118,137463000
11/12/18,49.75,49.963,48.448,51.118,48.543,204542072
11/13/18,47.908,49.295,47.863,48.543,48.058,187531744
11/14/18,48.475,48.62,46.483,48.058,46.7,243203828
11/15/18,47.098,47.993,46.725,46.7,47.853,185915204
11/16/18,47.625,48.742,47.365,47.853,48.383,147713012
11/19/18,47.5,47.675,46.248,48.383,46.465,167683488
11/20/18,44.593,45.368,43.878,46.465,44.245,271300988
11/21/18,44.933,45.068,44.138,44.245,44.195,124496840
11/22/18,44.933,45.068,44.138,44.245,44.195,124496840
11/23/18,43.735,44.149,43.025,44.195,43.073,94495888
11/26/18,43.56,43.738,42.565,43.073,43.655,179994080
11/27/18,42.878,43.693,42.72,43.655,43.56,165549508
11/28/18,44.183,45.323,43.733,43.56,45.235,184250156
11/29/18,45.665,45.7,44.425,45.235,44.888,167079968
11/30/18,45.073,45.083,44.258,44.888,44.645,158126196
12/3/18,46.115,46.235,45.303,44.645,46.205,163192008
12/4/18,45.238,45.597,44.068,46.205,44.173,165377128
12/5/18,45.238,45.597,44.068,46.205,44.173,165377128
12/6/18,42.94,43.695,42.605,44.173,43.68,172393640
12/7/18,43.373,43.623,42.075,43.68,42.123,169126524
12/10/18,41.25,42.523,40.833,42.123,42.4,248103976
12/11/18,42.915,42.948,41.75,42.4,42.158,189126660
12/12/18,42.6,42.98,42.255,42.158,42.275,142510696
12/13/18,42.623,43.143,42.388,42.275,42.738,127591308
12/14/18,42.25,42.27,41.32,42.738,41.37,162814840
12/17/18,41.363,42.088,40.683,41.37,40.985,177151688
12/18/18,41.345,41.883,41.098,40.985,41.518,135366072
12/19/18,41.5,41.863,39.773,41.518,40.223,196189188
12/20/18,40.1,40.528,38.825,40.223,39.208,259091840
12/21/18,39.215,39.54,37.408,39.208,37.683,382977536
12/24/18,37.038,37.888,36.648,37.683,36.708,148676928
12/25/18,37.038,37.888,36.648,37.683,36.708,148676928
12/26/18,37.075,39.308,36.68,36.708,39.293,234330176
12/27/18,38.96,39.193,37.518,39.293,39.038,212468260
12/28/18,39.375,39.63,38.638,39.038,39.058,169165696
12/31/18,39.633,39.84,39.12,39.058,39.435,140013864
1/1/19,39.633,39.84,39.12,39.058,39.435,140013864
1/2/19,38.723,39.713,38.558,39.435,39.48,148158948
1/3/19,35.995,36.43,35.5,39.48,35.548,365248780
1/4/19,36.133,37.137,35.95,35.548,37.065,234428280
1/7/19,37.175,37.208,36.475,37.065,36.983,219111056
1/8/19,37.39,37.955,37.13,36.983,37.688,164101256
1/9/19,37.823,38.633,37.408,37.688,38.328,180396324
1/10/19,38.125,38.493,37.715,38.328,38.45,143122680
1/11/19,38.22,38.425,37.878,38.45,38.073,108092964
1/14/19,37.713,37.818,37.305,38.073,37.5,129756744
1/15/19,37.568,38.348,37.513,37.5,38.268,114841296
1/16/19,38.27,38.97,38.25,38.268,38.735,122278824
1/17/19,38.55,39.415,38.315,38.735,38.965,119284640
1/18/19,39.375,39.47,38.995,38.965,39.205,135004092
1/21/19,39.375,39.47,38.995,38.965,39.205,135004092
1/22/19,39.103,39.183,38.155,39.205,38.325,121575880
1/23/19,38.538,38.785,37.925,38.325,38.48,92522280
1/24/19,38.528,38.62,37.935,38.48,38.175,101766196
1/25/19,38.87,39.533,38.58,38.175,39.44,134191572
1/28/19,38.948,39.083,38.415,39.44,39.075,104768232
1/29/19,39.063,39.533,38.528,39.075,38.67,166348956
1/30/19,40.813,41.538,40.058,38.67,41.313,244439120
1/31/19,41.528,42.25,41.14,41.313,41.61,162958596
2/1/19,41.74,42.245,41.483,41.61,41.63,130672552
2/4/19,41.853,42.914,41.82,41.63,42.813,125982328
2/5/19,43.215,43.77,43.088,42.813,43.545,144406512
2/6/19,43.663,43.893,43.213,43.545,43.56,112958364
2/7/19,43.1,43.485,42.585,43.56,42.735,126966760
2/8/19,42.248,42.665,42.105,42.735,42.603,95279864
2/11/19,42.763,42.803,42.313,42.603,42.358,83973700
2/12/19,42.525,42.75,42.425,42.358,42.723,89134092
2/13/19,42.848,43.12,42.48,42.723,42.545,89960932
2/14/19,42.428,42.815,42.345,42.545,42.7,87342988
2/15/19,42.813,42.925,42.438,42.7,42.605,98507256
2/18/19,42.813,42.925,42.438,42.7,42.605,98507256
2/19/19,42.428,42.86,42.373,42.605,42.733,75891304
2/20/19,42.798,43.33,42.748,42.733,43.008,104457448
2/21/19,42.95,43.093,42.575,43.008,42.765,68998680
2/22/19,42.895,43.25,42.845,42.765,43.243,75652616
2/25/19,43.54,43.968,43.488,43.243,43.558,87493432
2/26/19,43.428,43.825,43.293,43.558,43.583,68280844
2/27/19,43.303,43.75,43.183,43.583,43.718,111341556
2/28/19,43.58,43.728,43.23,43.718,43.288,112861664
3/1/19,43.57,43.788,43.223,43.288,43.743,103544668
3/4/19,43.923,44.438,43.493,43.743,43.963,109744812
3/5/19,43.985,44,43.635,43.963,43.883,78949676
3/6/19,43.668,43.873,43.485,43.883,43.63,83241536
3/7/19,43.468,43.61,43.005,43.63,43.125,99185496
3/8/19,42.58,43.268,42.375,43.125,43.228,95997432
3/11/19,43.873,44.78,43.838,43.228,44.725,128044136
