Date,Open,High,Low,Close,Adj Close,Volume
2/15/18,44.25,44.83,44.12,44.1,44.78,13467318
2/16/18,45.57,45.6401,44.72,44.78,44.98,17202302
2/19/18,45.57,45.6401,44.72,44.78,44.98,17202302
2/20/18,44.75,44.83,43.94,44.98,43.99,14137347
2/21/18,44.11,44.26,43.33,43.99,43.34,12792902
2/22/18,43.43,43.82,43.22,43.34,43.52,12377840
2/23/18,43.58,44.06,43.42,43.52,44.04,8277178
2/26/18,44.23,44.39,43.81,44.04,44.03,12713306
2/27/18,44.15,44.311,43.62,44.03,43.62,12774392
2/28/18,43.83,43.91,43.22,43.62,43.22,11929361
3/1/18,43.1,43.64,42.82,43.22,43.43,17746825
3/2/18,43.25,43.8,43.24,43.43,43.72,14050081
3/5/18,43.57,43.935,43.5,43.72,43.89,11992712
3/6/18,43.95,44.05,43.59,43.89,43.93,10010478
3/7/18,43.59,43.92,43.47,43.93,43.82,10881683
3/8/18,43.9,44.46,43.8,43.82,44.45,12361100
3/9/18,44.57,44.82,44.39,44.45,44.82,9778643
3/12/18,44.95,45.09,44.33,44.82,44.53,11857700
3/13/18,44.67,44.825,44.4,44.53,44.57,11342136
3/14/18,44.38,44.43,43.725,44.57,43.78,15321218
3/15/18,43.88,44,43.55,43.78,43.67,12456712
3/16/18,43.7,44.02,43.45,43.67,43.46,26603281
3/19/18,43.46,43.71,43.175,43.46,43.26,12380290
3/20/18,43.32,43.48,43.01,43.26,43.16,13559805
3/21/18,43.13,43.45,42.79,43.16,43,13053980
3/22/18,42.88,43.365,42.7,43,42.76,12274085
3/23/18,42.82,43.1556,42.29,42.76,42.33,13475205
3/26/18,42.61,42.8099,42.25,42.33,42.69,11276082
3/27/18,42.7,43.31,42.525,42.69,42.89,11627041
3/28/18,43,43.7,43,42.89,43.32,16277393
3/29/18,43.54,43.92,43.29,43.32,43.43,10450497
3/30/18,43.54,43.92,43.29,43.32,43.43,10450497
4/2/18,43.44,43.5,42.473,43.43,42.67,14207925
4/3/18,42.98,43.535,42.84,42.67,43.38,15484644
4/4/18,43.14,44.4,43.11,43.38,44.24,13563321
4/5/18,44.28,44.61,43.94,44.24,44.4,11707816
4/6/18,44.28,44.52,43.71,44.4,43.92,11495075
4/9/18,44.03,44.31,43.78,43.92,43.83,11913408
4/10/18,44.07,44.18,43.715,43.83,43.99,10687338
4/11/18,43.81,44.14,43.76,43.99,43.99,8424265
4/12/18,44.08,44.405,43.95,43.99,44.03,8476392
4/13/18,44.19,44.69,44.14,44.03,44.51,10774160
4/16/18,44.65,44.89,44.4,44.51,44.68,8962115
4/17/18,44.95,45.03,44.65,44.68,44.88,8406404
4/18/18,44.9,44.97,44.325,44.88,44.51,7429015
4/19/18,44.34,44.47,44.015,44.51,44.31,10370411
4/20/18,44.31,44.41,43.58,44.31,43.74,14690701
4/23/18,43.74,43.99,43.56,43.74,43.98,11878473
